# World Bank Open Data SP.POP.TOTL, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,28284089
AFG,2011,29347708
AFG,2012,30560034
AFG,2013,31622704
AFG,2014,32792523
AFG,2015,33831764
AFG,2016,34700612
AFG,2017,35688935
AFG,2018,36743039
AFG,2019,37856121
AFG,2020,39068979
AFG,2021,40000412
AFG,2022,40578842
AFG,2023,41454761
AFG,2024,42647492
AFG,2025,43844111
AGO,2010,23294825
AGO,2011,24218352
AGO,2012,25177394
AGO,2013,26165620
AGO,2014,27160769
AGO,2015,28157798
AGO,2016,29183070
AGO,2017,30234839
AGO,2018,31297155
AGO,2019,32375632
AGO,2020,33451132
AGO,2021,34532429
AGO,2022,35635029
AGO,2023,36749906
AGO,2024,37885849
AGO,2025,39040039
ALB,2010,2913021
ALB,2011,2905195
ALB,2012,2860708
ALB,2013,2816902
ALB,2014,2773767
ALB,2015,2731293
ALB,2016,2689469
ALB,2017,2648285
ALB,2018,2607733
ALB,2019,2567801
ALB,2020,2528480
ALB,2021,2489762
ALB,2022,2451636
ALB,2023,2411658
ALB,2024,2377128
ALB,2025,2349580
AND,2010,80706
AND,2011,77783
AND,2012,76834
AND,2013,75194
AND,2014,73737
AND,2015,72174
AND,2016,72181
AND,2017,73763
AND,2018,75162
AND,2019,76474
AND,2020,77380
AND,2021,78364
AND,2022,79705
AND,2023,80856
AND,2024,81938
AND,2025,82904
ARE,2010,6869838
ARE,2011,7104538
ARE,2012,7391448
ARE,2013,7693031
ARE,2014,8059440
ARE,2015,8505237
ARE,2016,8935095
ARE,2017,9223225
ARE,2018,9346701
ARE,2019,9445785
ARE,2020,9401038
ARE,2021,9575152
ARE,2022,10074977
ARE,2023,10483751
ARE,2024,10986400
ARE,2025,11513149
ARG,2010,41288694
ARG,2011,41730660
ARG,2012,42161721
ARG,2013,42582455
ARG,2014,43024071
ARG,2015,43477012
ARG,2016,43900313
ARG,2017,44288894
ARG,2018,44654882
ARG,2019,44973465
ARG,2020,45191965
ARG,2021,45312281
ARG,2022,45407904
ARG,2023,45538401
ARG,2024,45696159
ARG,2025,45851378
ARM,2010,3044800
ARM,2011,3027900
ARM,2012,3024100
ARM,2013,3022000
ARM,2014,3013800
ARM,2015,3004600
ARM,2016,2992300
ARM,2017,2979400
ARM,2018,2969000
ARM,2019,2962500
ARM,2020,2961500
ARM,2021,2962300
ARM,2022,2969200
ARM,2023,2964300
ARM,2024,3033500
ARM,2025,3086700
ATG,2010,85320
ATG,2011,86332
ATG,2012,87260
ATG,2013,88064
ATG,2014,88765
ATG,2015,89409
ATG,2016,89969
ATG,2017,90468
ATG,2018,90926
ATG,2019,91364
ATG,2020,91846
ATG,2021,92349
ATG,2022,92840
ATG,2023,93316
ATG,2024,93772
ATG,2025,94209
AUS,2010,22031750
AUS,2011,22340024
AUS,2012,22733465
AUS,2013,23128129
AUS,2014,23475686
AUS,2015,23815995
AUS,2016,24190907
AUS,2017,24592588
AUS,2018,24963258
AUS,2019,25334826
AUS,2020,25649248
AUS,2021,25685412
AUS,2022,26018721
AUS,2023,26659922
AUS,2024,27194286
AUS,2025,27614411
AUT,2010,8363404
AUT,2011,8391643
AUT,2012,8429991
AUT,2013,8479823
AUT,2014,8546356
AUT,2015,8642699
AUT,2016,8736668
AUT,2017,8797566
AUT,2018,8840521
AUT,2019,8879920
AUT,2020,8916864
AUT,2021,8955797
AUT,2022,9041851
AUT,2023,9131761
AUT,2024,9177982
AUT,2025,9208163
AZE,2010,9054332
AZE,2011,9173082
AZE,2012,9295784
AZE,2013,9416801
AZE,2014,9535079
AZE,2015,9649341
AZE,2016,9757812
AZE,2017,9854033
AZE,2018,9939771
AZE,2019,10024283
AZE,2020,10093121
AZE,2021,10137750
AZE,2022,10141756
AZE,2023,10153958
AZE,2024,10202830
AZE,2025,10246996
BDI,2010,9376444
BDI,2011,9717978
BDI,2012,10071028
BDI,2013,10439341
BDI,2014,10799785
BDI,2015,11047580
BDI,2016,11239451
BDI,2017,11506762
BDI,2018,11859446
BDI,2019,12255336
BDI,2020,12617036
BDI,2021,12965481
BDI,2022,13321097
BDI,2023,13689450
BDI,2024,14047786
BDI,2025,14390003
BEL,2010,10895586
BEL,2011,11038264
BEL,2012,11106932
BEL,2013,11159407
BEL,2014,11209057
BEL,2015,11274196
BEL,2016,11331422
BEL,2017,11375158
BEL,2018,11427054
BEL,2019,11488980
BEL,2020,11538604
BEL,2021,11586195
BEL,2022,11680210
BEL,2023,11779946
BEL,2024,11858610
BEL,2025,11941781
BEN,2010,9797484
BEN,2011,10093623
BEN,2012,10397657
BEN,2013,10708834
BEN,2014,11030004
BEN,2015,11360681
BEN,2016,11697842
BEN,2017,12039780
BEN,2018,12383347
BEN,2019,12726755
BEN,2020,13070169
BEN,2021,13413417
BEN,2022,13759501
BEN,2023,14111034
BEN,2024,14462724
BEN,2025,14814460
BFA,2010,16176498
BFA,2011,16661908
BFA,2012,17172287
BFA,2013,17695409
BFA,2014,18229461
BFA,2015,18777487
BFA,2016,19334856
BFA,2017,19894407
BFA,2018,20438288
BFA,2019,20961952
BFA,2020,21478690
BFA,2021,21995243
BFA,2022,22509038
BFA,2023,23025776
BFA,2024,23548781
BFA,2025,24074580
BGD,2010,152201981
BGD,2011,153591076
BGD,2012,155070101
BGD,2013,156532141
BGD,2014,157964929
BGD,2015,159383179
BGD,2016,160811932
BGD,2017,162186147
BGD,2018,163523103
BGD,2019,164913055
BGD,2020,166298024
BGD,2021,167658854
BGD,2022,169384897
BGD,2023,171466990
BGD,2024,173562364
BGD,2025,175686899
BGR,2010,7395599
BGR,2011,7348328
BGR,2012,7305888
BGR,2013,7160005
BGR,2014,7073572
BGR,2015,6984225
BGR,2016,6894139
BGR,2017,6803468
BGR,2018,6710798
BGR,2019,6616726
BGR,2020,6550696
BGR,2021,6507301
BGR,2022,6465097
BGR,2023,6446596
BGR,2024,6441421
BGR,2025,6433302
BHR,2010,1228543
BHR,2011,1195020
BHR,2012,1208964
BHR,2013,1253191
BHR,2014,1314562
BHR,2015,1370322
BHR,2016,1423726
BHR,2017,1501116
BHR,2018,1503091
BHR,2019,1483756
BHR,2020,1472204
BHR,2021,1504365
BHR,2022,1524693
BHR,2023,1577059
BHR,2024,1588670
BHR,2025,1600366
BHS,2010,367478
BHS,2011,371729
BHS,2012,375469
BHS,2013,378953
BHS,2014,382298
BHS,2015,385346
BHS,2016,388055
BHS,2017,390485
BHS,2018,392717
BHS,2019,394675
BHS,2020,395863
BHS,2021,396373
BHS,2022,397538
BHS,2023,399440
BHS,2024,401283
BHS,2025,403033
BIH,2010,3811472
BIH,2011,3741798
BIH,2012,3670113
BIH,2013,3610859
BIH,2014,3564829
BIH,2015,3518541
BIH,2016,3473003
BIH,2017,3428682
BIH,2018,3387000
BIH,2019,3345533
BIH,2020,3299349
BIH,2021,3244907
BIH,2022,3204802
BIH,2023,3185073
BIH,2024,3164253
BIH,2025,3140095
BLR,2010,9483836
BLR,2011,9461643
BLR,2012,9446836
BLR,2013,9443211
BLR,2014,9448515
BLR,2015,9461076
BLR,2016,9469379
BLR,2017,9458989
BLR,2018,9438785
BLR,2019,9419758
BLR,2020,9379952
BLR,2021,9302585
BLR,2022,9228071
BLR,2023,9178298
BLR,2024,9132629
BLR,2025,9085991
BLZ,2010,320245
BLZ,2011,327298
BLZ,2012,334414
BLZ,2013,341627
BLZ,2014,348923
BLZ,2015,356333
BLZ,2016,364705
BLZ,2017,373202
BLZ,2018,380226
BLZ,2019,385829
BLZ,2020,390812
BLZ,2021,395346
BLZ,2022,402733
BLZ,2023,411106
BLZ,2024,417072
BLZ,2025,422924
BOL,2010,10182345
BOL,2011,10348929
BOL,2012,10515807
BOL,2013,10682608
BOL,2014,10848888
BOL,2015,11014705
BOL,2016,11180020
BOL,2017,11344587
BOL,2018,11508368
BOL,2019,11671386
BOL,2020,11816299
BOL,2021,11937360
BOL,2022,12077154
BOL,2023,12244159
BOL,2024,12413315
BOL,2025,12581843
BRA,2010,193701929
BRA,2011,195284734
BRA,2012,196876111
BRA,2013,198478299
BRA,2014,200085127
BRA,2015,201675532
BRA,2016,203218114
BRA,2017,204703445
BRA,2018,206107261
BRA,2019,207455459
BRA,2020,208660842
BRA,2021,209550294
BRA,2022,210306415
BRA,2023,211140729
BRA,2024,211998573
BRA,2025,212812405
BRB,2010,275243
BRB,2011,276139
BRB,2012,276938
BRB,2013,277665
BRB,2014,278348
BRB,2015,278990
BRB,2016,279598
BRB,2017,280171
BRB,2018,280711
BRB,2019,281207
BRB,2020,281698
BRB,2021,282147
BRB,2022,282318
BRB,2023,282336
BRB,2024,282467
BRB,2025,282623
BRN,2010,392332
BRN,2011,399389
BRN,2012,405557
BRN,2013,411202
BRN,2014,416750
BRN,2015,422212
BRN,2016,427564
BRN,2017,432772
BRN,2018,437810
BRN,2019,442680
BRN,2020,447404
BRN,2021,451721
BRN,2022,455370
BRN,2023,458949
BRN,2024,462721
BRN,2025,466330
BTN,2010,701632
BTN,2011,709377
BTN,2012,717279
BTN,2013,725273
BTN,2014,733139
BTN,2015,740618
BTN,2016,747866
BTN,2017,754335
BTN,2018,759759
BTN,2019,764824
BTN,2020,770006
BTN,2021,775442
BTN,2022,780914
BTN,2023,786385
BTN,2024,791524
BTN,2025,796682
BWA,2010,2033111
BWA,2011,2073535
BWA,2012,2108617
BWA,2013,2140682
BWA,2014,2172044
BWA,2015,2203273
BWA,2016,2234776
BWA,2017,2266747
BWA,2018,2299141
BWA,2019,2332083
BWA,2020,2365894
BWA,2021,2401441
BWA,2022,2439892
BWA,2023,2480244
BWA,2024,2521139
BWA,2025,2562122
CAF,2010,4492995
CAF,2011,4565021
CAF,2012,4610848
CAF,2013,4642419
CAF,2014,4623182
CAF,2015,4629320
CAF,2016,4713663
CAF,2017,4793511
CAF,2018,4878657
CAF,2019,4944703
CAF,2020,5026628
CAF,2021,5112100
CAF,2022,5098039
CAF,2023,5152421
CAF,2024,5330690
CAF,2025,5513282
CAN,2010,34005902
CAN,2011,34339221
CAN,2012,34713395
CAN,2013,35080992
CAN,2014,35434066
CAN,2015,35704498
CAN,2016,36110803
CAN,2017,36545075
CAN,2018,37072620
CAN,2019,37618495
CAN,2020,38028638
CAN,2021,38239864
CAN,2022,38950132
CAN,2023,40049088
CAN,2024,41262329
CAN,2025,41651653
CHE,2010,7824909
CHE,2011,7912398
CHE,2012,7996861
CHE,2013,8089346
CHE,2014,8188649
CHE,2015,8282396
CHE,2016,8373338
CHE,2017,8451840
CHE,2018,8514329
CHE,2019,8575280
CHE,2020,8638167
CHE,2021,8704546
CHE,2022,8777088
CHE,2023,8888822
CHE,2024,9005582
CHE,2025,9092436
CHL,2010,17181464
CHL,2011,17351816
CHL,2012,17519119
CHL,2013,17687006
CHL,2014,17864195
CHL,2015,18047625
CHL,2016,18267221
CHL,2017,18558868
CHL,2018,18893191
CHL,2019,19197744
CHL,2020,19370624
CHL,2021,19456334
CHL,2022,19553036
CHL,2023,19658835
CHL,2024,19764771
CHL,2025,19859921
CHN,2010,1337705000
CHN,2011,1345035000
CHN,2012,1354190000
CHN,2013,1363240000
CHN,2014,1371860000
CHN,2015,1379860000
CHN,2016,1387790000
CHN,2017,1396215000
CHN,2018,1402760000
CHN,2019,1407745000
CHN,2020,1411100000
CHN,2021,1412360000
CHN,2022,1412175000
CHN,2023,1410710000
CHN,2024,1408975000
CHN,2025,1406585000
CIV,2010,22488065
CIV,2011,22982000
CIV,2012,23467078
CIV,2013,23939775
CIV,2014,24527395
CIV,2015,25246342
CIV,2016,25989405
CIV,2017,26733372
CIV,2018,27464173
CIV,2019,28193009
CIV,2020,28915449
CIV,2021,29639736
CIV,2022,30395002
CIV,2023,31165654
