# World Bank Open Data NY.GDP.MKTP.CD, last updated 2026-07-13, CC BY 4.0
iso3,year,value
AFG,2010,15856668555.8336
AFG,2011,17805098206.3141
AFG,2012,19907329777.5872
AFG,2013,20146416757.5987
AFG,2014,20497128555.6972
AFG,2015,19134221644.7325
AFG,2016,18116572395.0772
AFG,2017,18753456497.8159
AFG,2018,18053222687.4126
AFG,2019,18799444490.1128
AFG,2020,19955929052.1496
AFG,2021,14259995441.0759
AFG,2022,14497243872.1337
AFG,2023,17152234636.8715
AFG,2024,17778508875.7396
AGO,2010,95546919754.2873
AGO,2011,125551634704.941
AGO,2012,143572907527.976
AGO,2013,148845200696.335
AGO,2014,153449860495.966
AGO,2015,102543067840.819
AGO,2016,60770049747.3832
AGO,2017,85629598654.1906
AGO,2018,90506061877.2765
AGO,2019,81193813808.0382
AGO,2020,58512033805.8981
AGO,2021,78283923543.8237
AGO,2022,128233959333.275
AGO,2023,106042349567.303
AGO,2024,103080538044.058
AGO,2025,122174889423.635
ALB,2010,12086545641.299
ALB,2011,12973755874.5365
ALB,2012,12246499747.9714
ALB,2013,12796985886.1478
ALB,2014,13296322588.1684
ALB,2015,11470171826.9575
ALB,2016,11988668784.6628
ALB,2017,13258268435.6048
ALB,2018,15379508329.7568
ALB,2019,15585111614.0376
ALB,2020,15241458744.5927
ALB,2021,18031989573.0294
ALB,2022,19017247013.8821
ALB,2023,23491242727.4082
ALB,2024,27037474263.2977
ALB,2025,30540188271.3421
AND,2010,3449925738.83334
AND,2011,3629133574.51363
AND,2012,3188652765.29297
AND,2013,3193512950.0157
AND,2014,3271685596.52156
AND,2015,2789881258.60547
AND,2016,2896610479.86771
AND,2017,3000162081.22353
AND,2018,3218419896.93333
AND,2019,3155149347.92156
AND,2020,2891001149.40079
AND,2021,3324647529.41855
AND,2022,3380612573.4825
AND,2023,3785067331.88242
AND,2024,4044249678.65625
AND,2025,4500982731.80784
ARE,2010,307736348527.33
ARE,2011,368881033962.57
ARE,2012,392793559050.783
ARE,2013,409632574702.715
ARE,2014,424935834104.193
ARE,2015,381973135513.065
ARE,2016,381717208620.964
ARE,2017,403365056078.846
ARE,2018,440560003161.236
ARE,2019,433926218686.108
ARE,2020,357161776271.328
ARE,2021,422441282436.237
ARE,2022,511403404642.173
ARE,2023,522622268401.125
ARE,2024,552324919095.872
ARG,2010,423627422092.49
ARG,2011,530158122010.442
ARG,2012,545982375701.128
ARG,2013,552025140252.246
ARG,2014,526319673731.638
ARG,2015,594749285413.212
ARG,2016,557532320662.955
ARG,2017,643628393281.364
ARG,2018,524819892360.176
ARG,2019,447754683615.225
ARG,2020,385740508436.965
ARG,2021,486564085480.036
ARG,2022,633993756301.08
ARG,2023,649461687959.174
ARG,2024,638365455340.04
ARG,2025,683097891618.597
ARM,2010,9260285755.62424
ARM,2011,10142111824.5835
ARM,2012,10619320682.9474
ARM,2013,11121464437.0415
ARM,2014,11609513246.7958
ARM,2015,10553337518.414
ARM,2016,10546136235.5219
ARM,2017,11527458709.0158
ARM,2018,12457940694.7395
ARM,2019,13619290539.2116
ARM,2020,12641698583.2152
ARM,2021,13878908628.9378
ARM,2022,19513506553.1251
ARM,2023,24185982215.6543
ARM,2024,25955275380.0321
ARM,2025,29243452882.3545
ATG,2010,1298348148.14815
ATG,2011,1287359259.25926
ATG,2012,1364729629.62963
ATG,2013,1325496296.2963
ATG,2014,1378707407.40741
ATG,2015,1437485185.18519
ATG,2016,1489603703.7037
ATG,2017,1534855555.55556
ATG,2018,1661529629.62963
ATG,2019,1726448148.14815
